nombre,curso,seccion,notas
Alumno51,Python,B,"8,4,12,7"
Alumno52,Python,A,"15,15,6,8"
Alumno53,Python,C,"15,2,5,18"
Alumno54,Java,C,"0,13,20,15"
Alumno55,Spring Boot,B,"1,1,4,4"
Alumno56,SQL,A,"17,5,18,16"
Alumno57,SQL,C,"0,18,18,8"
Alumno58,Spring Boot,C,"0,6,17,20"
Alumno59,Algoritmos,C,"5,1,19,18"
Alumno60,Algoritmos,A,"11,18,20,8"
Alumno61,Java,B,"11,9,14,1"
Alumno62,Algoritmos,A,"7,7,20,6"
Alumno63,Java,A,"11,20,14,12"
Alumno64,SQL,A,"8,4,11,4"
Alumno65,SQL,A,"4,6,18,6"
Alumno66,Java,A,"7,1,0,10"
Alumno67,Java,B,"4,16,11,6"
Alumno68,SQL,B,"17,10,8,4"
Alumno69,SQL,C,"14,10,11,19"
Alumno70,Python,C,"17,15,0,17"
Alumno71,Python,B,"8,15,4,18"
Alumno72,Python,B,"18,4,8,4"
Alumno73,SQL,A,"7,4,5,6"
Alumno74,Algoritmos,A,"19,12,18,20"
Alumno75,SQL,C,"4,1,9,20"
Alumno76,SQL,C,"6,8,0,8"
Alumno77,Algoritmos,B,"2,3,12,3"
Alumno78,Spring Boot,B,"17,16,16,6"
Alumno79,Java,B,"3,5,20,7"
Alumno80,Spring Boot,B,"16,1,5,11"
Alumno81,Spring Boot,A,"17,10,16,1"
Alumno82,Java,C,"9,16,7,2"
Alumno83,Python,A,"0,17,10,16"
Alumno84,Java,B,"2,19,15,19"
Alumno85,Algoritmos,A,"5,20,1,17"
Alumno86,Java,B,"3,14,10,18"
Alumno87,Java,B,"3,5,13,5"
Alumno88,Python,B,"13,20,6,8"
Alumno89,Python,A,"10,20,4,4"
Alumno90,Algoritmos,A,"7,7,3,1"
Alumno91,Python,A,"17,8,0,19"
Alumno92,Spring Boot,C,"4,5,12,8"
Alumno93,Python,A,"20,1,17,19"
Alumno94,SQL,B,"15,8,18,7"
Alumno95,SQL,C,"4,7,14,19"
Alumno96,Python,C,"14,8,3,1"
Alumno97,Spring Boot,B,"19,4,3,20"
Alumno98,Python,C,"19,9,12,9"
Alumno99,SQL,C,"8,7,20,12"
Alumno100,Java,C,"6,9,4,4"
Alumno101,Java,B,"13,12,15,20"
Alumno102,SQL,A,"14,16,14,16"
Alumno103,Spring Boot,A,"10,11,11,0"
Alumno104,Python,C,"15,12,7,14"
Alumno105,Python,B,"2,0,17,18"
Alumno106,Java,C,"17,13,11,12"
Alumno107,Spring Boot,A,"3,11,19,9"
Alumno108,Java,C,"13,15,18,7"
Alumno109,Java,B,"3,7,2,7"
Alumno110,Spring Boot,C,"20,14,10,13"
Alumno111,SQL,C,"0,12,12,14"
Alumno112,Java,C,"8,18,20,19"
Alumno113,SQL,A,"20,11,5,13"
Alumno114,Java,C,"5,19,14,11"
Alumno115,Algoritmos,B,"16,3,12,11"
Alumno116,Java,A,"3,1,7,3"
Alumno117,Algoritmos,B,"19,8,10,0"
Alumno118,Spring Boot,A,"0,13,10,14"
Alumno119,Algoritmos,B,"14,5,3,9"
Alumno120,Java,C,"4,18,15,14"
Alumno121,SQL,C,"18,16,16,18"
Alumno122,Spring Boot,B,"19,13,18,11"
Alumno123,Java,A,"8,4,19,0"
Alumno124,Python,B,"17,18,3,3"
Alumno125,Spring Boot,A,"4,12,11,4"
Alumno126,SQL,B,"6,20,11,2"
Alumno127,Spring Boot,B,"3,6,18,0"
Alumno128,Java,A,"18,8,1,19"
Alumno129,Python,C,"20,17,8,10"
Alumno130,Spring Boot,A,"9,7,20,14"
Alumno131,Algoritmos,B,"5,5,14,9"
Alumno132,Algoritmos,A,"0,18,15,18"
Alumno133,SQL,B,"7,12,0,10"
Alumno134,SQL,B,"5,10,7,17"
Alumno135,Algoritmos,C,"3,12,10,12"
Alumno136,Spring Boot,A,"10,20,20,18"
Alumno137,Spring Boot,B,"10,3,15,20"
Alumno138,Algoritmos,C,"18,8,6,16"
Alumno139,Algoritmos,A,"14,2,15,19"
Alumno140,Algoritmos,B,"1,15,1,3"
Alumno141,Java,C,"15,16,10,5"
Alumno142,Java,A,"15,10,13,0"
Alumno143,Python,A,"20,1,6,13"
Alumno144,Java,B,"12,8,9,15"
Alumno145,Algoritmos,B,"1,4,18,3"
Alumno146,Spring Boot,C,"17,13,19,19"
Alumno147,Spring Boot,A,"16,1,14,4"
Alumno148,SQL,B,"15,10,20,7"
Alumno149,Java,A,"10,10,4,1"
Alumno150,Python,A,"19,2,6,4"
Alumno151,Algoritmos,B,"16,16,4,12"
Alumno152,SQL,A,"3,0,17,6"
Alumno153,Java,B,"5,0,14,6"
Alumno154,SQL,C,"1,11,11,13"
Alumno155,Java,C,"15,10,19,8"
Alumno156,Java,C,"18,14,16,18"
Alumno157,Java,A,"9,15,10,6"
Alumno158,Java,C,"7,1,1,19"
Alumno159,Spring Boot,C,"8,1,12,4"
Alumno160,SQL,A,"1,20,6,15"
Alumno161,Spring Boot,A,"12,1,6,11"
Alumno162,Python,A,"3,2,7,6"
Alumno163,Python,B,"11,9,20,8"
Alumno164,Algoritmos,C,"14,15,5,3"
Alumno165,SQL,B,"19,8,16,18"
Alumno166,SQL,B,"13,9,18,18"
Alumno167,SQL,C,"3,5,19,12"
Alumno168,Java,A,"18,1,5,8"
Alumno169,Python,C,"18,18,14,11"
Alumno170,SQL,B,"18,14,14,19"
Alumno171,Java,A,"5,12,19,7"
Alumno172,Python,A,"0,20,9,15"
Alumno173,Spring Boot,A,"16,13,17,16"
Alumno174,Algoritmos,C,"6,9,4,20"
Alumno175,Algoritmos,C,"12,6,20,5"
Alumno176,SQL,B,"10,2,14,4"
Alumno177,SQL,C,"20,9,15,0"
Alumno178,Algoritmos,C,"18,5,11,5"
Alumno179,Spring Boot,C,"5,18,20,9"
Alumno180,Python,C,"7,4,18,8"
Alumno181,Python,B,"12,2,11,19"
Alumno182,SQL,A,"6,18,8,2"
Alumno183,SQL,B,"3,5,20,1"
Alumno184,Python,B,"14,3,5,20"
Alumno185,Algoritmos,A,"15,7,0,2"
Alumno186,Java,C,"16,7,3,10"
Alumno187,Java,C,"14,4,9,5"
Alumno188,Spring Boot,B,"13,13,1,0"
Alumno189,Python,C,"12,12,2,5"
Alumno190,Algoritmos,B,"14,20,12,1"
Alumno191,Java,A,"12,16,0,3"
Alumno192,Algoritmos,C,"15,10,16,5"
Alumno193,Algoritmos,A,"17,1,17,20"
Alumno194,SQL,A,"0,6,7,20"
Alumno195,Python,B,"19,7,1,19"
Alumno196,SQL,C,"16,10,19,11"
Alumno197,SQL,A,"2,16,10,19"
Alumno198,SQL,A,"14,10,20,10"
Alumno199,SQL,B,"16,16,12,20"
Alumno200,Algoritmos,B,"19,19,9,4"
Alumno201,Java,A,"6,8,11,19"
Alumno202,Algoritmos,B,"7,16,13,20"
Alumno203,SQL,A,"10,14,2,2"
Alumno204,Spring Boot,A,"0,6,15,17"
Alumno205,Java,B,"18,8,15,14"
Alumno206,Java,A,"4,7,14,15"
Alumno207,Java,C,"10,19,18,9"
Alumno208,Python,B,"20,1,20,18"
Alumno209,Spring Boot,A,"14,1,20,9"
Alumno210,Algoritmos,A,"20,16,15,18"
Alumno211,SQL,A,"7,14,3,6"
Alumno212,Java,C,"15,20,6,13"
Alumno213,Algoritmos,A,"1,10,19,15"
Alumno214,Spring Boot,B,"15,4,10,1"
Alumno215,SQL,A,"5,18,16,8"
Alumno216,SQL,B,"16,4,1,16"
Alumno217,Java,B,"8,20,13,19"
Alumno218,Python,B,"1,10,3,1"
Alumno219,Algoritmos,A,"13,8,7,1"
Alumno220,Java,B,"11,4,2,4"
Alumno221,Algoritmos,A,"2,8,8,10"
Alumno222,Java,A,"0,19,8,15"
Alumno223,Java,A,"20,16,12,0"
Alumno224,Algoritmos,B,"2,11,16,2"
Alumno225,Java,C,"12,17,5,9"
Alumno226,Algoritmos,A,"11,11,0,15"
Alumno227,Algoritmos,C,"5,10,6,5"
Alumno228,Algoritmos,A,"13,1,16,0"
Alumno229,SQL,B,"19,3,14,1"
Alumno230,Java,B,"0,6,3,2"
Alumno231,Java,C,"0,13,20,2"
Alumno232,Spring Boot,B,"18,3,14,2"
Alumno233,Algoritmos,A,"6,20,10,17"
Alumno234,Java,C,"3,12,20,11"
Alumno235,SQL,C,"0,19,20,20"
Alumno236,Spring Boot,B,"5,4,2,20"
Alumno237,Python,A,"18,15,12,3"
Alumno238,Algoritmos,B,"3,14,6,0"
Alumno239,Algoritmos,A,"8,17,19,2"
Alumno240,Java,B,"10,10,19,9"
Alumno241,Spring Boot,C,"13,15,0,14"
Alumno242,Java,C,"0,19,12,9"
Alumno243,Algoritmos,B,"11,8,0,4"
Alumno244,Java,B,"7,12,2,9"
Alumno245,Python,C,"7,10,5,17"
Alumno246,Algoritmos,A,"10,11,18,13"
Alumno247,Spring Boot,C,"14,12,18,5"
Alumno248,SQL,B,"4,9,17,5"
Alumno249,Spring Boot,A,"1,8,4,6"
Alumno250,SQL,A,"12,16,0,12"
Alumno251,Java,B,"15,6,17,1"
Alumno252,Python,B,"6,18,17,13"
Alumno253,Python,C,"6,4,9,16"
Alumno254,Algoritmos,A,"6,17,1,5"
Alumno255,Python,C,"8,1,10,11"
Alumno256,Spring Boot,A,"3,7,3,12"
Alumno257,Python,B,"11,14,18,12"
Alumno258,SQL,A,"8,16,6,8"
Alumno259,Algoritmos,C,"8,12,12,17"
Alumno260,Java,C,"7,18,3,20"
Alumno261,Java,A,"15,13,18,10"
Alumno262,Spring Boot,A,"7,3,16,14"
Alumno263,Spring Boot,A,"9,2,13,17"
Alumno264,SQL,A,"14,18,6,4"
Alumno265,Algoritmos,B,"19,11,0,6"
Alumno266,SQL,B,"18,8,20,7"
Alumno267,Python,A,"10,5,16,13"
Alumno268,Spring Boot,A,"13,8,11,14"
Alumno269,Python,C,"9,8,11,8"
Alumno270,Python,A,"5,15,18,18"
Alumno271,Java,C,"6,18,20,19"
Alumno272,Python,C,"7,18,14,7"
Alumno273,Python,A,"18,5,7,2"
Alumno274,Spring Boot,C,"10,13,10,10"
Alumno275,Python,A,"13,18,14,5"
Alumno276,Java,C,"15,19,7,2"
Alumno277,Python,A,"0,0,15,10"
Alumno278,SQL,C,"14,2,18,15"
Alumno279,Algoritmos,A,"14,7,3,5"
Alumno280,Python,A,"18,9,12,12"
Alumno281,Java,C,"13,16,13,20"
Alumno282,Python,B,"5,13,10,14"
Alumno283,Algoritmos,C,"2,16,14,13"
Alumno284,Algoritmos,C,"3,6,6,7"
Alumno285,Python,C,"6,2,2,9"
Alumno286,Java,A,"16,4,3,20"
Alumno287,Java,B,"5,14,3,2"
Alumno288,SQL,B,"6,3,0,20"
Alumno289,SQL,C,"20,4,4,19"
Alumno290,Algoritmos,B,"20,17,19,10"
Alumno291,Spring Boot,C,"17,3,15,18"
Alumno292,Algoritmos,A,"5,7,11,0"
Alumno293,Algoritmos,C,"17,12,0,12"
Alumno294,SQL,C,"17,9,6,18"
Alumno295,Spring Boot,B,"4,1,5,12"
Alumno296,Python,B,"16,10,1,0"
Alumno297,SQL,C,"8,12,17,17"
Alumno298,Spring Boot,A,"15,15,10,13"
Alumno299,Algoritmos,A,"18,5,1,20"
Alumno300,Python,B,"17,13,9,9"
Alumno301,Python,B,"6,10,3,13"
Alumno302,Java,B,"3,14,17,16"
Alumno303,Algoritmos,C,"19,9,6,10"
Alumno304,Algoritmos,B,"19,12,14,14"
Alumno305,SQL,C,"5,20,0,14"
Alumno306,Algoritmos,B,"11,19,4,3"
Alumno307,Algoritmos,A,"7,9,9,20"
Alumno308,SQL,C,"4,10,5,5"
Alumno309,Python,B,"0,6,9,1"
Alumno310,SQL,B,"20,11,15,11"
Alumno311,Java,B,"18,18,18,5"
Alumno312,Algoritmos,B,"9,13,8,10"
Alumno313,Java,B,"0,6,3,19"
Alumno314,Algoritmos,C,"7,15,0,7"
Alumno315,Python,B,"10,11,2,16"
Alumno316,SQL,A,"12,13,8,14"
Alumno317,SQL,A,"15,18,8,5"
Alumno318,SQL,B,"0,16,13,1"
Alumno319,Java,A,"15,7,14,2"
Alumno320,Java,B,"3,13,19,5"
Alumno321,Spring Boot,B,"8,9,2,17"
Alumno322,Spring Boot,A,"11,17,10,10"
Alumno323,Python,B,"19,10,10,8"
Alumno324,Algoritmos,C,"16,4,19,0"
Alumno325,SQL,B,"11,17,3,18"
Alumno326,Java,A,"6,17,6,8"
Alumno327,Spring Boot,C,"19,13,7,14"
Alumno328,SQL,C,"2,10,12,0"
Alumno329,SQL,A,"4,19,0,0"
Alumno330,Spring Boot,A,"9,2,14,5"
Alumno331,Java,B,"14,4,3,5"
Alumno332,Algoritmos,A,"6,9,19,10"
Alumno333,Java,C,"14,8,10,12"
Alumno334,Algoritmos,B,"12,11,10,11"
Alumno335,Spring Boot,C,"9,10,19,19"
Alumno336,Python,C,"7,8,6,12"
Alumno337,SQL,A,"2,9,2,20"
Alumno338,Spring Boot,B,"18,14,20,16"
Alumno339,Java,A,"9,8,9,6"
Alumno340,Spring Boot,B,"7,7,1,10"
Alumno341,Python,C,"7,2,5,8"
Alumno342,Java,B,"18,5,0,10"
Alumno343,SQL,C,"7,11,7,2"
Alumno344,SQL,C,"1,0,4,3"
Alumno345,Spring Boot,A,"18,0,0,11"
Alumno346,Java,A,"17,4,7,15"
Alumno347,Python,B,"13,8,2,3"
Alumno348,Java,B,"3,4,6,20"
Alumno349,SQL,A,"16,9,5,0"
Alumno350,SQL,A,"14,6,13,14"
Alumno351,Algoritmos,B,"10,20,6,5"
Alumno352,Spring Boot,B,"12,5,19,1"
Alumno353,Algoritmos,A,"13,15,18,6"
Alumno354,Java,C,"12,9,16,11"
Alumno355,Java,C,"18,8,8,4"
Alumno356,Java,B,"12,11,3,8"
Alumno357,Java,C,"9,2,12,16"
Alumno358,Java,A,"9,16,11,15"
Alumno359,SQL,C,"8,19,17,12"
Alumno360,Python,A,"3,17,9,15"
Alumno361,Algoritmos,A,"20,0,4,8"
Alumno362,Spring Boot,C,"1,0,11,3"
Alumno363,SQL,B,"3,0,1,1"
Alumno364,SQL,B,"2,11,9,3"
Alumno365,Spring Boot,B,"3,5,11,20"
Alumno366,SQL,A,"1,11,0,4"
Alumno367,Java,C,"11,17,13,5"
Alumno368,SQL,C,"19,18,19,20"
Alumno369,Python,B,"11,20,0,2"
Alumno370,Algoritmos,B,"14,3,9,15"
Alumno371,Spring Boot,A,"1,6,2,5"
Alumno372,Java,C,"6,8,4,13"
Alumno373,Java,C,"6,7,15,13"
Alumno374,SQL,A,"5,16,0,19"
Alumno375,Spring Boot,C,"0,0,9,2"
Alumno376,Spring Boot,C,"2,3,18,13"
Alumno377,Algoritmos,C,"6,1,15,19"
Alumno378,Python,C,"6,15,9,6"
Alumno379,Java,C,"16,10,2,9"
Alumno380,Python,A,"7,11,16,11"
Alumno381,Algoritmos,C,"1,13,15,13"
Alumno382,SQL,A,"5,0,19,3"
Alumno383,Python,A,"19,4,17,9"
Alumno384,Algoritmos,A,"4,12,6,0"
Alumno385,Algoritmos,B,"20,8,19,5"
Alumno386,Java,B,"19,19,6,15"
Alumno387,Spring Boot,A,"14,19,18,20"
Alumno388,Python,C,"3,10,16,12"
Alumno389,Spring Boot,A,"16,15,20,6"
Alumno390,Spring Boot,C,"5,15,10,0"
Alumno391,Algoritmos,A,"17,6,3,5"
Alumno392,Spring Boot,B,"2,15,10,15"
Alumno393,Java,A,"12,10,5,17"
Alumno394,Spring Boot,A,"13,0,6,16"
Alumno395,Java,B,"4,14,19,5"
Alumno396,Python,B,"1,15,9,3"
Alumno397,Spring Boot,C,"18,19,18,4"
Alumno398,Spring Boot,B,"16,8,16,11"
Alumno399,Java,A,"1,0,8,14"
Alumno400,Algoritmos,A,"18,1,13,8"
Alumno401,Java,B,"16,16,15,6"
Alumno402,Python,B,"16,3,7,20"
Alumno403,SQL,B,"12,3,3,4"
Alumno404,SQL,A,"6,3,4,3"
Alumno405,Algoritmos,C,"20,12,8,7"
Alumno406,Spring Boot,B,"9,6,12,9"
Alumno407,Python,C,"5,17,9,7"
Alumno408,Spring Boot,C,"16,5,9,16"
Alumno409,Java,B,"1,5,9,15"
Alumno410,Algoritmos,B,"9,17,16,20"
Alumno411,SQL,C,"6,18,9,10"
Alumno412,SQL,C,"8,20,10,11"
Alumno413,SQL,C,"7,5,17,16"
Alumno414,Spring Boot,C,"4,20,0,3"
Alumno415,SQL,A,"20,14,16,8"
Alumno416,Python,C,"17,2,16,19"
Alumno417,SQL,C,"10,18,7,12"
Alumno418,Spring Boot,A,"0,3,6,2"
Alumno419,Java,B,"19,6,16,2"
Alumno420,Python,B,"5,19,6,10"
Alumno421,Algoritmos,A,"13,9,0,14"
Alumno422,SQL,B,"3,2,5,20"
Alumno423,Spring Boot,B,"9,3,7,7"
Alumno424,Python,A,"10,12,8,4"
Alumno425,SQL,A,"12,7,3,7"
Alumno426,Spring Boot,B,"0,12,10,14"
Alumno427,SQL,A,"11,0,2,12"
Alumno428,Algoritmos,B,"14,16,4,2"
Alumno429,Java,C,"0,5,3,4"
Alumno430,SQL,A,"6,19,4,1"
Alumno431,Java,C,"9,13,17,2"
Alumno432,Java,B,"16,20,10,20"
Alumno433,SQL,A,"0,13,18,12"
Alumno434,Algoritmos,A,"10,12,4,12"
Alumno435,Python,A,"1,1,2,17"
Alumno436,Python,C,"10,14,6,17"
Alumno437,Algoritmos,A,"0,12,0,14"
Alumno438,Algoritmos,C,"11,18,10,16"
Alumno439,Python,A,"16,16,13,18"
Alumno440,SQL,C,"12,11,14,15"
Alumno441,Java,A,"18,0,17,4"
Alumno442,SQL,C,"5,6,8,20"
Alumno443,Spring Boot,C,"19,9,15,0"
Alumno444,Python,A,"15,20,11,4"
Alumno445,Python,A,"9,4,18,4"
Alumno446,SQL,C,"9,2,10,4"
Alumno447,Python,A,"2,9,0,17"
Alumno448,Java,A,"10,7,20,1"
Alumno449,Java,A,"12,20,11,12"
Alumno450,SQL,A,"7,13,6,5"
Alumno451,Python,A,"19,20,18,13"
Alumno452,SQL,C,"0,12,18,5"
Alumno453,SQL,B,"5,14,4,6"
Alumno454,Python,B,"1,5,18,0"
Alumno455,Spring Boot,B,"15,17,7,3"
Alumno456,SQL,A,"19,4,2,14"
Alumno457,Java,C,"10,3,8,20"
Alumno458,Python,B,"8,10,19,6"
Alumno459,Spring Boot,A,"9,14,1,2"
Alumno460,Python,C,"7,14,20,7"
Alumno461,Spring Boot,C,"19,18,15,3"
Alumno462,Algoritmos,A,"12,4,14,9"
Alumno463,SQL,C,"6,14,18,8"
Alumno464,Spring Boot,B,"19,11,18,16"
Alumno465,SQL,B,"17,1,14,0"
Alumno466,SQL,A,"18,0,3,1"
Alumno467,Spring Boot,A,"13,8,13,1"
Alumno468,Java,A,"1,3,18,5"
Alumno469,SQL,B,"6,19,18,9"
Alumno470,Java,A,"4,15,8,1"
Alumno471,Java,B,"19,18,0,15"
Alumno472,Python,A,"20,18,4,5"
Alumno473,SQL,A,"14,6,12,0"
Alumno474,Spring Boot,B,"13,2,7,14"
Alumno475,Spring Boot,B,"7,0,3,4"
Alumno476,SQL,A,"7,5,15,3"
Alumno477,Algoritmos,A,"12,2,16,19"
Alumno478,Algoritmos,A,"10,16,18,6"
Alumno479,Python,B,"16,16,4,2"
Alumno480,SQL,C,"3,15,14,11"
Alumno481,SQL,C,"6,20,19,15"
Alumno482,Java,A,"19,17,17,15"
Alumno483,SQL,C,"3,13,11,1"
Alumno484,Java,B,"19,14,18,9"
Alumno485,Python,B,"14,6,4,2"
Alumno486,Java,A,"5,1,5,8"
Alumno487,SQL,C,"9,19,14,7"
Alumno488,Python,A,"20,5,15,15"
Alumno489,SQL,C,"13,18,4,11"
Alumno490,Spring Boot,B,"12,18,12,4"
Alumno491,Python,B,"3,2,10,15"
Alumno492,Java,C,"14,3,17,20"
Alumno493,Algoritmos,C,"11,17,12,14"
Alumno494,SQL,A,"6,0,10,0"
Alumno495,Algoritmos,B,"5,11,10,0"
Alumno496,Spring Boot,A,"9,12,11,3"
Alumno497,SQL,A,"4,4,17,1"
Alumno498,Algoritmos,C,"3,15,11,3"
Alumno499,SQL,C,"6,15,19,1"
Alumno500,Java,C,"3,18,17,13"
